datenbestand,url,archivdatei,produktdatei,abruf_utc,sha256,messzeilen,erstes_referenzdatum,letztes_referenzdatum
historical,https://opendata.dwd.de/climate_environment/CDC/observations_germany/climate/daily/more_precip/historical/tageswerte_RR_02011_19310101_20251231_hist.zip,tageswerte_RR_02011_19310101_20251231_hist.zip,produkt_nieder_tag_19310101_20251231_02011.txt,2026-09-11T11:58:56+00:00,52eed26cb303d75bdc00b6d83ef3d234ae712a2361ae2203413c18958a8eb40d,34690,1931-01-01,2025-12-31
recent,https://opendata.dwd.de/climate_environment/CDC/observations_germany/climate/daily/more_precip/recent/tageswerte_RR_02011_akt.zip,tageswerte_RR_02011_akt.zip,produkt_nieder_tag_20250310_20260910_02011.txt,2026-09-11T11:58:56+00:00,6735f66a6b1590e2d59e9c03c3b9cd9d9e39848e8cd2b73c712a2cf366b9b8d9,550,2025-03-10,2026-09-10
